episode,score,epsilon
76,-267.51629785524017,0.00998645168764533
77,-280.7224990142527,0.00998645168764533
78,-291.9166402196393,0.00998645168764533
79,-279.37423378885074,0.00998645168764533
80,-274.68927757254687,0.00998645168764533
81,-274.9688138674592,0.00998645168764533
82,-269.3974456407551,0.00998645168764533
83,-261.80234297098605,0.00998645168764533
84,-269.44364572198504,0.00998645168764533
85,-271.6229405852237,0.00998645168764533
86,-274.5546408649238,0.00998645168764533
87,-306.2639961830079,0.00998645168764533
88,-279.19035350375117,0.00998645168764533
89,-269.8600704981769,0.00998645168764533
90,-295.7603008514156,0.00998645168764533
91,-283.706823661518,0.00998645168764533
92,-271.9641991889677,0.00998645168764533
93,-272.7427222515544,0.00998645168764533
94,-268.6949195475755,0.00998645168764533
95,-285.061186421443,0.00998645168764533
96,-269.47721524668935,0.00998645168764533
97,-268.41179261954517,0.00998645168764533
98,-279.81262259920436,0.00998645168764533
99,-266.10018601101945,0.00998645168764533
100,-282.7887319539089,0.00998645168764533
101,-283.7639004222332,0.00998645168764533
102,-278.40236447865857,0.00998645168764533
103,-278.28346816183586,0.00998645168764533
104,-264.7117079523199,0.00998645168764533
105,-280.41442985776433,0.00998645168764533
106,-262.0995140324887,0.00998645168764533
107,-276.49457868641343,0.00998645168764533
108,-263.77682599693594,0.00998645168764533
109,-290.1502061924487,0.00998645168764533
110,-283.6049411486101,0.00998645168764533
111,-277.2059498345264,0.00998645168764533
112,-259.7766900265371,0.00998645168764533
113,-273.27674476465694,0.00998645168764533
114,-264.8699900463589,0.00998645168764533
115,-260.06416203232243,0.00998645168764533
116,-281.5042044914247,0.00998645168764533
117,-248.2607603369179,0.00998645168764533
118,-294.9779115267683,0.00998645168764533
119,-262.6970087219784,0.00998645168764533
120,-283.8846434316837,0.00998645168764533
121,-266.7881969486313,0.00998645168764533
122,-270.44047431634067,0.00998645168764533
123,-249.14875387088475,0.00998645168764533
124,-284.97780310837925,0.00998645168764533
125,-256.12074110566533,0.00998645168764533
126,-260.660018011164,0.00998645168764533
127,-283.88720207403173,0.00998645168764533
128,-260.33670938263987,0.00998645168764533
129,-265.48420817603784,0.00998645168764533
130,-265.8198412843276,0.00998645168764533
131,-270.1001598004523,0.00998645168764533
132,-252.38218168117976,0.00998645168764533
133,-263.1190587084099,0.00998645168764533
134,-261.6067764977015,0.00998645168764533
135,-285.6352066053137,0.00998645168764533
136,-260.17931059222775,0.00998645168764533
137,-254.19197722407668,0.00998645168764533
138,-286.0127797465059,0.00998645168764533
139,-266.50702450683997,0.00998645168764533
140,-261.4294546016769,0.00998645168764533
141,-289.04267579914557,0.00998645168764533
142,-270.45621266089694,0.00998645168764533
143,-303.18565571312297,0.00998645168764533
144,-266.48093830540114,0.00998645168764533
145,-267.19931656032344,0.00998645168764533
146,-302.3668371757686,0.00998645168764533
147,-255.9541473313476,0.00998645168764533
148,-261.0248868366693,0.00998645168764533
149,-277.52676558891983,0.00998645168764533
150,-250.33203394921787,0.00998645168764533
151,-290.2373003869384,0.00998645168764533
152,-264.6781460266033,0.00998645168764533
153,-290.8911354720517,0.00998645168764533
154,-248.80552391066254,0.00998645168764533
155,-262.6638262237208,0.00998645168764533
156,-254.59561372066747,0.00998645168764533
157,-286.9854632250154,0.00998645168764533
158,-257.1665157153798,0.00998645168764533
159,-261.3217429004494,0.00998645168764533
160,-254.0605803188772,0.00998645168764533
161,-263.47410741273353,0.00998645168764533
162,-259.34522353494623,0.00998645168764533
163,-263.08430409264577,0.00998645168764533
164,-263.71861054762536,0.00998645168764533
165,-285.0452513279805,0.00998645168764533
166,-276.5939457848188,0.00998645168764533
