episode,score,epsilon
1,-268.58316302631573,0.8433051360508336
2,-270.3289010801233,0.6563549768288433
3,-290.41849180137706,0.510849320360386
4,-339.6850332977316,0.3976004408064698
5,-309.34063714519687,0.30945741577570285
6,-358.2191033156435,0.2408545925762412
7,-315.9149485525763,0.18746015382974018
8,-318.25323192548495,0.14590259167570602
9,-289.1833958969572,0.1135578192100607
10,-260.66943420415566,0.08838347664452084
11,-261.10656982043383,0.06878996970981359
12,-268.26631099664075,0.05354009722551939
13,-277.1273041812555,0.041670929977297724
14,-289.1948396895326,0.032433008066058915
15,-287.32738766752743,0.02524301744132218
16,-281.24050776702234,0.01964695745288379
17,-277.5613945623959,0.01529147369377279
18,-297.3831142981769,0.01190154599194817
19,-288.63006493509204,0.00998645168764533
20,-296.02660512335956,0.00998645168764533
21,-284.50487491935166,0.00998645168764533
22,-294.55992106979204,0.00998645168764533
23,-292.07203307574855,0.00998645168764533
24,-274.20515583308503,0.00998645168764533
25,-285.60203657273075,0.00998645168764533
26,-293.45457511716364,0.00998645168764533
27,-299.37524115292337,0.00998645168764533
28,-329.9329525356268,0.00998645168764533
29,-270.1893413434402,0.00998645168764533
30,-308.73245322473406,0.00998645168764533
31,-276.4342252758311,0.00998645168764533
32,-274.7147262655831,0.00998645168764533
33,-292.2271648067258,0.00998645168764533
34,-276.99946997326623,0.00998645168764533
35,-281.37908070918377,0.00998645168764533
36,-261.9066366612491,0.00998645168764533
37,-266.00797736109274,0.00998645168764533
38,-288.66753478167044,0.00998645168764533
39,-305.2160126760458,0.00998645168764533
40,-284.2914170306305,0.00998645168764533
41,-269.58330774235196,0.00998645168764533
42,-273.5751145516173,0.00998645168764533
43,-299.54852599473446,0.00998645168764533
44,-275.70721445584195,0.00998645168764533
45,-292.11317414163653,0.00998645168764533
46,-271.60932301523604,0.00998645168764533
47,-292.81064338135,0.00998645168764533
48,-282.5658775143857,0.00998645168764533
49,-294.66310737067266,0.00998645168764533
50,-301.8964519901557,0.00998645168764533
51,-274.57678843018954,0.00998645168764533
52,-287.3020947241405,0.00998645168764533
53,-291.1691688429789,0.00998645168764533
54,-273.8995069423816,0.00998645168764533
55,-279.8050828793571,0.00998645168764533
56,-278.1446082435742,0.00998645168764533
57,-282.87187545055355,0.00998645168764533
58,-260.2520686477439,0.00998645168764533
59,-268.42396607792887,0.00998645168764533
60,-281.1651094656908,0.00998645168764533
61,-272.27247268044744,0.00998645168764533
62,-279.59127083566466,0.00998645168764533
63,-273.43132274442985,0.00998645168764533
64,-279.12079216591894,0.00998645168764533
65,-282.9363377929669,0.00998645168764533
66,-277.59219257324474,0.00998645168764533
67,-270.49073952880036,0.00998645168764533
68,-286.96055613589647,0.00998645168764533
69,-271.8435607912126,0.00998645168764533
70,-282.1720859333275,0.00998645168764533
71,-291.154437960187,0.00998645168764533
72,-292.4443699070438,0.00998645168764533
73,-290.17201677133727,0.00998645168764533
74,-279.4056705275432,0.00998645168764533
75,-257.4730436296206,0.00998645168764533
76,-273.69198145504043,0.00998645168764533
77,-293.05259163190266,0.00998645168764533
78,-288.6201206109211,0.00998645168764533
79,-283.52386749519576,0.00998645168764533
80,-271.005416932601,0.00998645168764533
81,-287.7786366507028,0.00998645168764533
82,-289.2595828034688,0.00998645168764533
83,-266.5488984575566,0.00998645168764533
84,-253.74408008803422,0.00998645168764533
85,-282.2697798325183,0.00998645168764533
86,-291.49788649010907,0.00998645168764533
87,-298.916614781376,0.00998645168764533
88,-274.3917098668495,0.00998645168764533
